,"p, атм","T, K",t_exp,Δt_exp,t_calc,dT:Aramco13,dT:Aramco20,dT:Aramco30,dT:GriMech12,dT:GriMech30,dT:NUImech,dT:RAMEC,dT:Slavinskaya,dT:USCC1C3,dT:ZhukovC1C4,dT:ZhukovC1C7,dT:ZhukovKongCH4,OH:Aramco13,OH:Aramco20,OH:Aramco30,OH:GriMech12,OH:GriMech30,OH:NUImech,OH:RAMEC,OH:Slavinskaya,OH:USCC1C3,OH:ZhukovC1C4,OH:ZhukovC1C7,OH:ZhukovKongCH4
10,14.4,1621.0,55.0,7.0,39.0,63.54398694418959,66.2486363143862,66.43802132719638,47.173265250334396,39.44516714649396,59.370009018034104,48.51657232235625,68.25136121270197,44.00035472448465,49.919894518282625,49.91969464094917,54.061367372901316,65.1104372723014,67.80039515014693,67.99511880417658,48.97800490431733,40.886955772265225,60.730386662683536,50.25480588101226,68.86609295560582,45.44936166898248,51.673856302583886,51.691035768438965,57.73304928863665
11,15.0,1641.0,30.0,3.0,33.0,51.697516168745445,53.962026783135435,54.05426075284724,38.89317175349406,32.764325333038656,48.1641425331331,40.08799835345405,55.66933352877153,36.444765300484505,41.297162900013014,41.296642228318596,44.857056449942895,53.14170628530369,55.40124628679416,55.49684377599145,40.56843496421787,34.09133401845245,49.42624358893498,41.70864194495182,56.22759260386306,37.7849685092627,42.94206801892615,42.940261727763406,48.17528559764197
12,15.6,1595.0,76.0,6.0,45.0,75.22098379027727,78.22407579929548,78.55156001046234,55.273903859878274,45.34968030678699,70.37109499124107,56.582694811509334,82.04474517635074,50.92592772483728,58.115171114642784,58.11390714964868,62.488681299351114,76.69694026092857,79.69583301220405,80.02609297864028,56.98398745005853,46.71060863970693,71.670292384902,58.23426691663913,82.61080241759242,52.29749245105868,59.79296281880393,59.79212110581427,66.46107692180887
13,15.8,1381.0,406.0,5.0,300.0,500.10143854385365,500.12029795952657,499.57274435204243,411.61542127886185,299.82341560422145,499.95279693527095,401.1721531229154,499.91545797580017,351.24349481573125,407.82158017046834,407.82235258937055,415.9068271536366,500.2861727555865,500.47359962561745,500.24728593324755,413.97190576153343,301.96956698138337,500.74826609250596,403.56627863635543,500.16979413686937,353.3996953503441,410.24771952245754,410.23315744867415,416.9345875516293
14,23.5,1422.0,204.0,5.0,141.0,296.4691557392965,298.38687594319947,302.7850432033279,197.87862919691275,140.8060420259733,275.87210376901305,193.70490889346766,336.90419744465305,165.6230427335399,197.75781654211545,197.75795668787134,202.14512593358504,297.84846008190476,299.7620119863895,304.17203198071326,199.41473452465945,142.23912912068297,277.1351968575982,195.29701295682997,337.4195576348838,167.0523727560038,199.36312628224204,199.3611147238463,202.86387910800565
15,24.2,1457.0,157.0,9.0,100.0,200.00621087451438,202.87324460325513,205.39925336273546,137.70151677406037,99.82090605638302,186.38464124574952,136.10705045565498,232.47400578136455,116.64790545699904,139.12229627800315,139.12248225941516,143.31928416811877,201.2477996489933,204.103626265088,206.6403718571653,139.08546549873063,101.06827798030876,187.50930057242826,137.5523081659144,232.93002054234904,117.89557396080443,140.57563680356773,140.57771637118307,143.94650581000712
16,29.0,1580.0,49.0,4.0,30.0,52.23300701766455,54.07226828642859,54.30986927686209,39.40213946212151,30.709681648604587,48.36610081317654,39.97479557321802,63.611599475834666,35.090038834415694,41.07557389923534,41.07581034748515,43.37686102611748,53.02969535612263,54.863141939045605,55.10542746344997,40.3194388556256,31.404093176513676,49.054437195795714,40.91168048517484,63.904174620129126,35.796317374598964,42.0254822575778,42.02494074297514,43.75416936729501
17,32.0,1351.0,225.0,16.0,211.0,490.64216480760103,483.3812318539532,492.8285817125806,313.58297754327197,209.16409702524672,447.0739446765502,296.4161953140564,499.9092405388694,251.56712241022325,302.5461887063876,302.5483618650912,303.5912238286095,491.99928209193814,484.7406480414761,494.19633823167004,315.07381150411396,210.84457271758637,448.327334089221,298.0682245610833,500.20390831368604,253.22555007775807,304.19453384542703,304.1959276705809,450.3613274089017
18,43.0,1422.0,81.0,4.0,81.0,174.55035284796406,174.20365387525445,176.75881240786578,121.27991357514586,81.70861122369993,159.64843866740455,117.18562381800393,224.71532582352398,97.5278820777799,119.92377386360187,119.92298578114455,121.60809972720348,175.4741882936515,175.12093759172103,177.67964643500147,122.33511815108356,82.93361559708407,160.50477007790633,118.35799451477254,225.08389138008127,98.73746276748066,121.09535260570674,121.08886578002146,501.37072021558845
19,48.0,1659.0,12.0,1.0,11.0,17.563982328428047,18.26339299977239,18.230927080463246,14.177733273999413,11.36316681075059,16.024594114379067,14.525841689557002,22.85660845071514,12.892172353772361,14.965923954961253,14.966572062080328,15.881768823714049,17.9874405585096,18.68153791641347,18.65021888306169,14.68782631954153,11.645606251734376,16.35409372695947,15.07215084282937,23.026571694631507,13.183431318875199,15.518472864110443,15.519283074195654,16.104605918876242
